experiment,case,instance_class,N,target_kappa,eps_target,seeds,actual_kappa_mean,actual_kappa_sd,iterations_mean,iterations_sd,runtime_sec_mean,runtime_sec_sd,fwd_phases,rev_phases,cs_violation_max,warm_certificate_rate,fallback_count,fallback_rate,object_terminal_certificate_rate,final_certificate_rate,full_equilibrium_diagnostic_rate,feasible_rate,matched_pair_error_max,outside_i_exact_error_max,outside_j_exact_error_max
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1e-06,30,1.9426175951957703,0.045164476908043434,342.2,63.39607297747643,0.025473291582117478,0.0042924960307210575,14,13,9.5367431640625e-07,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1e-05,30,1.9426175951957703,0.045164476908043434,318.1,56.923027277919424,0.023421499994583428,0.003958844619285099,13,11,1.0013580322265625e-05,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
baseline,CSA-linear(kappa=2),CSA-linear,50,2,0.0001,30,1.9426175951957703,0.045164476908043434,288.1,49.75273341997021,0.02127401951390008,0.0035745998731914748,11,9,0.00010013580322265625,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
baseline,CSA-linear(kappa=2),CSA-linear,50,2,0.001,30,1.9426175951957703,0.045164476908043434,266.8333333333333,49.90548538251449,0.0266877139142404,0.025518866746089153,9,8,0.0010004043579101562,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
baseline,CSA-linear(kappa=2),CSA-linear,50,2,0.01,30,1.9426175951957703,0.045164476908043434,237.7,43.45362172914141,0.020770048544121286,0.010183281965102691,8,6,0.010000228881835938,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
baseline,CSA-linear(kappa=2),CSA-linear,50,2,0.1,30,1.9426175951957703,0.045164476908043434,218,84.74668135095321,0.022376461202899614,0.010491799317781384,7,4,0.10000133514404297,0.8333333333333334,5,0.16666666666666666,1.0,1.0,1.0,1.0,0.0,0.0,0.0
baseline,LTU(kappa=10),LTU,50,10,1e-06,30,9.96836125055949,0.028031019268557524,291.76666666666665,57.734041433368276,0.022219598580462237,0.003928702398777121,14,13,9.5367431640625e-07,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
baseline,LTU(kappa=10),LTU,50,10,1e-05,30,9.96836125055949,0.028031019268557524,274.6666666666667,52.53657729642262,0.021109848601433136,0.003643412914536219,13,11,1.0013580322265625e-05,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
baseline,LTU(kappa=10),LTU,50,10,0.0001,30,9.96836125055949,0.028031019268557524,252.1,49.19444179425432,0.01988268884209295,0.0037676128464505256,11,9,0.00010013580322265625,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
baseline,LTU(kappa=10),LTU,50,10,0.001,30,9.96836125055949,0.028031019268557524,235.36666666666667,45.91107096095243,0.017916554228092234,0.0031663304854426494,9,8,0.0010004043579101562,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
baseline,LTU(kappa=10),LTU,50,10,0.01,30,9.96836125055949,0.028031019268557524,212.23333333333332,42.56085568667069,0.018015615370435018,0.005306604643359589,8,6,0.010000228881835938,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
baseline,LTU(kappa=10),LTU,50,10,0.1,30,9.96836125055949,0.028031019268557524,160.83333333333334,68.4780777069332,0.015021188984004159,0.007590072164842331,7,4,0.10000038146972656,0.8333333333333334,5,0.16666666666666666,1.0,1.0,1.0,1.0,0.0,0.0,0.0
baseline,TU,TU,50,1,1e-06,30,1.0,0.0,316.2,73.92465875750658,0.026309783391964933,0.009854736365371744,14,13,9.5367431640625e-07,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
baseline,TU,TU,50,1,1e-05,30,1.0,0.0,295.7,65.76874323116488,0.020292279147543012,0.004115332310327699,13,11,1.0013580322265625e-05,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
baseline,TU,TU,50,1,0.0001,30,1.0,0.0,397.6333333333333,412.7577968380182,0.03116524450791379,0.03983485411150105,11,9,0.00010013580322265625,0.9666666666666667,1,0.03333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0
baseline,TU,TU,50,1,0.001,30,1.0,0.0,246.03333333333333,46.103693720922664,0.016932411080536742,0.0027633984464515474,9,8,0.0009999275207519531,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
baseline,TU,TU,50,1,0.01,30,1.0,0.0,658.3666666666667,284.11720302979063,0.060457968067688245,0.028639701247930582,9,6,0.010000228881835938,0.26666666666666666,22,0.7333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0
baseline,TU,TU,50,1,0.1,30,1.0,0.0,135.9,38.440594562842385,0.01224767353075246,0.007605245462208562,6,4,0.10000038146972656,0.9666666666666667,1,0.03333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0
robustness,"LTU(N=100,kappa=1000)",LTU,100,1000,1e-06,30,907.3200602213542,87.73413917487545,1021.9,366.0104907107784,0.07976561673761656,0.024693512592405615,15,13,9.5367431640625e-07,0.2,24,0.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0
robustness,"LTU(N=100,kappa=1000)",LTU,100,1000,1e-05,30,907.3200602213542,87.73413917487545,801.5333333333333,278.3734446973053,0.06337730278416226,0.0182189372189412,13,11,9.5367431640625e-06,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
robustness,"LTU(N=100,kappa=1000)",LTU,100,1000,0.0001,30,907.3200602213542,87.73413917487545,682.8666666666667,253.5081762040405,0.05492025283165276,0.017024446518684067,11,9,0.00010013580322265625,0.9666666666666667,1,0.03333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0
robustness,"LTU(N=100,kappa=1000)",LTU,100,1000,0.001,30,907.3200602213542,87.73413917487545,551.8666666666667,201.77090684876924,0.06130094452140232,0.02270951361546768,9,8,0.0010004043579101562,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
robustness,"LTU(N=100,kappa=1000)",LTU,100,1000,0.01,30,907.3200602213542,87.73413917487545,363.6333333333333,97.17509377703071,0.04194469997504105,0.015548344552133548,8,6,0.010000228881835938,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
robustness,"LTU(N=100,kappa=10000)",LTU,100,10000,1e-06,30,5950.077591959635,2599.0175102055955,1388.7666666666667,630.4604055676342,0.1107272944956397,0.042959591772887606,15,13,9.5367431640625e-07,0.2,24,0.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0
robustness,"LTU(N=100,kappa=10000)",LTU,100,10000,1e-05,30,5950.077591959635,2599.0175102055955,1105.5,531.9323103164731,0.08587512771288554,0.03629233109573189,13,11,9.5367431640625e-06,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
robustness,"LTU(N=100,kappa=10000)",LTU,100,10000,0.0001,30,5950.077591959635,2599.0175102055955,847.3,415.7614659293525,0.06772438189170013,0.028056497641786176,11,9,0.00010013580322265625,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
robustness,"LTU(N=100,kappa=10000)",LTU,100,10000,0.001,30,5950.077591959635,2599.0175102055955,625.0333333333333,300.8016282207094,0.07294786252702276,0.034640893313711424,9,8,0.0010004043579101562,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
robustness,"LTU(N=100,kappa=10000)",LTU,100,10000,0.01,30,5950.077591959635,2599.0175102055955,386.9,193.94655324919125,0.04579964720954498,0.0363122214065633,8,6,0.010000228881835938,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
robustness,"LTU(N=200,kappa=1000)",LTU,200,1000,1e-06,30,966.520595296224,26.690088182181334,2129.133333333333,787.1749458680064,0.17151222085425008,0.052097467458525164,14,13,9.5367431640625e-07,0.26666666666666666,22,0.7333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0
robustness,"LTU(N=200,kappa=1000)",LTU,200,1000,1e-05,30,966.520595296224,26.690088182181334,1620.5333333333333,515.6374517131154,0.1311670236599942,0.038812663873996005,13,11,1.0013580322265625e-05,0.9333333333333333,2,0.06666666666666667,1.0,1.0,1.0,1.0,0.0,0.0,0.0
robustness,"LTU(N=200,kappa=1000)",LTU,200,1000,0.0001,30,966.520595296224,26.690088182181334,1280.9,456.67300230524114,0.10827626943743478,0.03385320402163958,11,9,0.00010013580322265625,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
robustness,"LTU(N=200,kappa=1000)",LTU,200,1000,0.001,30,966.520595296224,26.690088182181334,1051.8,422.88478907095515,0.14495228189819803,0.042285530034287123,9,8,0.0010004043579101562,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
robustness,"LTU(N=200,kappa=1000)",LTU,200,1000,0.01,30,966.520595296224,26.690088182181334,735.4333333333333,385.7567290702633,0.10979857216589153,0.057411258221009565,8,6,0.010000228881835938,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
robustness,"LTU(N=200,kappa=10000)",LTU,200,10000,1e-06,30,7676.686442057292,1436.7667729955285,2757.3333333333335,1161.307982356557,0.23963254309880236,0.09009029586205228,14,13,9.5367431640625e-07,0.23333333333333334,23,0.7666666666666667,1.0,1.0,1.0,1.0,0.0,0.0,0.0
robustness,"LTU(N=200,kappa=10000)",LTU,200,10000,1e-05,30,7676.686442057292,1436.7667729955285,2013.1,813.1718378860858,0.1523581028683111,0.052317863264763245,13,11,9.5367431640625e-06,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
robustness,"LTU(N=200,kappa=10000)",LTU,200,10000,0.0001,30,7676.686442057292,1436.7667729955285,1562.7666666666667,685.3522971905528,0.1297915457126995,0.06594796532792785,11,9,0.00010013580322265625,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
robustness,"LTU(N=200,kappa=10000)",LTU,200,10000,0.001,30,7676.686442057292,1436.7667729955285,1055,478.54405627183735,0.16806615844058495,0.08030313208519206,9,8,0.0010004043579101562,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
robustness,"LTU(N=200,kappa=10000)",LTU,200,10000,0.01,30,7676.686442057292,1436.7667729955285,639.1,229.9655671377033,0.10461329441362371,0.05485950208362445,8,6,0.010000228881835938,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
robustness,"LTU(N=50,kappa=1000)",LTU,50,1000,1e-06,30,796.5125172932943,149.0561624326836,537.7333333333333,190.3928666682681,0.0395476903533563,0.013218167330889881,15,13,9.5367431640625e-07,0.06666666666666667,28,0.9333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0
robustness,"LTU(N=50,kappa=1000)",LTU,50,1000,1e-05,30,796.5125172932943,149.0561624326836,424.8,146.6523921998241,0.030553691531531514,0.009825303676062233,13,11,1.0013580322265625e-05,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
robustness,"LTU(N=50,kappa=1000)",LTU,50,1000,0.0001,30,796.5125172932943,149.0561624326836,382.06666666666666,138.71676261319342,0.027251012506894767,0.009348388397984705,11,9,0.00010013580322265625,0.9333333333333333,2,0.06666666666666667,1.0,1.0,1.0,1.0,0.0,0.0,0.0
robustness,"LTU(N=50,kappa=1000)",LTU,50,1000,0.001,30,796.5125172932943,149.0561624326836,319.1333333333333,121.11685247736166,0.026456769346259533,0.009777410732383949,9,8,0.0010004043579101562,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
robustness,"LTU(N=50,kappa=1000)",LTU,50,1000,0.01,30,796.5125172932943,149.0561624326836,213.4,80.69722039395374,0.016700311129291854,0.005718119014865294,8,6,0.010000228881835938,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
robustness,"LTU(N=50,kappa=10000)",LTU,50,10000,1e-06,30,3769.0281311035155,2290.9925207239025,682.9666666666667,267.47329655091943,0.048130963804821174,0.018138473370891424,15,13,9.5367431640625e-07,0.23333333333333334,23,0.7666666666666667,1.0,1.0,1.0,1.0,0.0,0.0,0.0
robustness,"LTU(N=50,kappa=10000)",LTU,50,10000,1e-05,30,3769.0281311035155,2290.9925207239025,576.7666666666667,238.6517710307048,0.040361929195933045,0.015868456787091673,13,11,1.0013580322265625e-05,0.9333333333333333,2,0.06666666666666667,1.0,1.0,1.0,1.0,0.0,0.0,0.0
robustness,"LTU(N=50,kappa=10000)",LTU,50,10000,0.0001,30,3769.0281311035155,2290.9925207239025,475.3,213.31766016420448,0.033667498547583816,0.013967527865735884,11,9,0.00010013580322265625,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
robustness,"LTU(N=50,kappa=10000)",LTU,50,10000,0.001,30,3769.0281311035155,2290.9925207239025,380.8666666666667,177.61790320862895,0.031396351451985535,0.014212010354962917,9,8,0.0010004043579101562,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
robustness,"LTU(N=50,kappa=10000)",LTU,50,10000,0.01,30,3769.0281311035155,2290.9925207239025,218.86666666666667,73.12093588274028,0.017357459757477045,0.005454991418598139,8,6,0.010000228881835938,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
